0.000000   100.000000   new 1567.099033 100.000000
6253466.579414 100.000000   new 6255600.668583 100.000000
6257171.745917 100.000000   new 6257134.006554 100.000000
6258704.575570 100.000000   new 6460519.198588 100.000000
6462088.261709 100.000000   new 6462082.838640 100.000000
6463651.896436 100.000000   new 6488635.511180 100.000000
6490204.767121 100.000000   new 6490157.841821 100.000000
6491727.124054 100.000000   new 6494877.174073 100.000000
6496446.990762 100.000000   new 6496413.504947 100.000000
6497982.903685 100.000000   new 6554115.503458 100.000000
6555682.826539 100.000000   new 6555679.151852 100.000000
6557246.463967 100.000000   new 6558209.946416 100.000000
6559776.129327 100.000000   new 6559732.062980 100.000000
6561298.488947 100.000000   new 6563702.386282 100.000000
6565269.804946 100.000000   new 6565266.242392 100.000000
6566833.442269 100.000000   new 6969416.690143 100.000000
6970983.632344 100.000000   new 6970939.002819 100.000000
6972505.992195 100.000000   new 6974578.074056 100.000000
6976143.387019 100.000000   new 6976111.466589 100.000000
6977676.219447 100.000000   new 7023764.615447 100.000000
7025328.326290 100.000000   new 7025328.254198 100.000000
7026891.960933 100.000000   new 7049431.692886 100.000000
7050994.637927 100.000000   new 7050953.275507 100.000000
7052516.998571 100.000000   new 7055712.663974 100.000000
7057276.908562 100.000000   new 7057248.971369 100.000000
7058812.822113 100.000000   new 7114745.946391 100.000000
7116310.045333 100.000000   new 7116309.598120 100.000000
7117873.683200 100.000000   new 7118840.489051 100.000000
7120403.348435 100.000000   new 7120362.584675 100.000000
7121925.708246 100.000000   new 7122782.789629 100.000000
7124343.860984 100.000000   new 7124346.762653 100.000000
7125907.495731 100.000000   new 7588593.786557 100.000000
7590151.078423 100.000000   new 7590116.109555 100.000000
7591673.435572 100.000000   new 7593806.866393 100.000000
7595378.601472 100.000000   new 7595340.312201 100.000000
7596911.434020 100.000000   new 7832995.673734 100.000000
7834565.085611 100.000000   new 7834517.942950 100.000000
7836087.442610 100.000000   new 7837556.608953 100.000000
7839127.230603 100.000000   new 7839089.310380 100.000000
7840660.062827 100.000000   new 7910545.293654 100.000000
7912114.800149 100.000000   new 7912067.349685 100.000000
7913637.157590 100.000000   new 7915106.004548 100.000000
7916676.945590 100.000000   new 7916638.704664 100.000000
7918209.777781 100.000000   new 8009423.279951 100.000000
8010992.934595 100.000000   new 8010986.704881 100.000000
8012556.571733 100.000000   new 8036256.244973 100.000000
8037826.734519 100.000000   new 8037778.480481 100.000000
8039349.093696 100.000000   new 8042782.857498 100.000000
8044369.609251 100.000000   new 8044318.868189 100.000000
8045905.521804 100.000000   new 8105183.880469 100.000000
8106766.591466 100.000000   new 8106747.560469 100.000000
8108330.225691 100.000000   new 8109278.621645 100.000000
8110859.892979 100.000000   new 8110800.680276 100.000000
8112382.249984 100.000000   new 8113221.170283 100.000000
8114800.402834 100.000000   new 8114785.189789 100.000000
8116364.039915 100.000000   new 8207328.861679 100.000000
8208906.918770 100.000000   new 8208851.000678 100.000000
8210429.275780 100.000000   new 8220062.085959 100.000000
8221655.052247 100.000000   new 8221594.973546 100.000000
8223187.883735 100.000000   new 8254638.279470 100.000000
8256233.102855 100.000000   new 8256159.972611 100.000000
8257755.459806 100.000000   new 8259799.352249 100.000000
8261392.857259 100.000000   new 8261332.847728 100.000000
8262925.689207 100.000000   new 8641684.061889 100.000000
8643280.534980 100.000000   new 8643247.699904 100.000000
