36692256827119.625000 98.485393    new 1338020888520.686035 99.944768 
36692409054987.546875 98.485387    new 1338384525132.879395 99.944753 
36692772774851.984375 98.485372    new 1338537774088.837891 99.944747 
36692926050255.507812 98.485366    new 1342102545151.516846 99.944600 
36696490742701.210938 98.485218    new 1342259215175.297607 99.944593 
36696647406102.781250 98.485212    new 1349736838474.146729 99.944285 
36704123939346.789062 98.484903    new 1349893202096.074219 99.944278 
36704280294485.976562 98.484897    new 1350796682876.414307 99.944241 
36705182941619.460938 98.484860    new 1350953182353.850098 99.944234 
36705339297043.000000 98.484853    new 1405207829115.361328 99.941995 
36759590965025.781250 98.482614    new 1405360065598.002197 99.941989 
36759743192614.343750 98.482608    new 1405731415986.841309 99.941973 
36760114428943.125000 98.482592    new 1405883690721.457275 99.941967 
36760266656857.656250 98.482586    new 1406118295891.480957 99.941957 
36760501127913.953125 98.482576    new 1406271568902.383301 99.941951 
36760654403332.507812 98.482570    new 1460424463948.383545 99.939716 
36814804355418.351562 98.480335    new 1460581136319.011475 99.939709 
36814961018826.914062 98.480328    new 1464333772269.717041 99.939554 
36818712930809.906250 98.480173    new 1464490136144.774414 99.939548 
36818869285681.109375 98.480167    new 1468300003704.336182 99.939391 
36822678429021.523438 98.480010    new 1468456388526.157959 99.939384 
36822834784729.421875 98.480003    new 1469158762048.376465 99.939355 
36823537151331.281250 98.479974    new 1469311002223.328857 99.939349 
36823689379142.351562 98.479968    new 1469506483278.727051 99.939341 
36823884299570.304688 98.479960    new 1469660184610.830078 99.939334 
36824037574399.500000 98.479954    new 1475665658912.209961 99.939087 
36830042592040.570312 98.479706    new 1475822035520.959717 99.939080 
36830198947455.585938 98.479699    new 1479073040468.832520 99.938946 
36833449265231.546875 98.479565    new 1479225302293.915283 99.938940 
36833601493036.710938 98.479559    new 1479589526389.207520 99.938925 
36833965644563.914062 98.479544    new 1479746204145.708252 99.938918 
36834122307825.359375 98.479537    new 1496461489512.864258 99.938228 
36850836124092.398438 98.478847    new 1496617857243.365479 99.938222 
36850992478903.304688 98.478841    new 1499244286228.012207 99.938113 
36853618792625.187500 98.478732    new 1499400648487.497559 99.938107 
36853775147788.351562 98.478726    new 1501101194281.960205 99.938037 
36855475280831.539062 98.478656    new 1501257587410.206543 99.938030 
36855631636523.382812 98.478649    new 1502448217497.586914 99.937981 
36856822228524.101562 98.478600    new 1502604577851.317871 99.937975 
36856978583643.476562 98.478594    new 1503680274295.058594 99.937930 
36858053788250.000000 98.478549    new 1503836700905.744629 99.937924 
36858210143626.289062 98.478543    new 1504719642120.181396 99.937887 
36859093076844.179688 98.478506    new 1504875998939.637939 99.937881 
36859249431991.867188 98.478500    new 1505554399164.557617 99.937853 
36859927833916.023438 98.478472    new 1505710754091.958252 99.937846 
36860084189348.328125 98.478466    new 1508259144912.835693 99.937741 
36862632448257.281250 98.478360    new 1508415508369.890137 99.937735 
36862788803703.414062 98.478354    new 1509546960045.230225 99.937688 
36863920192529.007812 98.478307    new 1509703324060.925781 99.937681 
36864076547965.296875 98.478301    new 1511203231605.302979 99.937620 
36865575969263.773438 98.478239    new 1511359637386.818115 99.937613 
36865732324573.804688 98.478232    new 1512437168927.329834 99.937569 
36866809808935.507812 98.478188    new 1512593531207.168701 99.937562 
36866966163757.757812 98.478182    new 1513579331433.541260 99.937521 
36867951916784.945312 98.478141    new 1513735694258.499023 99.937515 
36868108272472.960938 98.478134    new 1517933132386.717529 99.937342 
36872305469951.984375 98.477961    new 1518089496696.158203 99.937335 
36872461824894.289062 98.477955    new 1519768843770.095459 99.937266 
36874140703891.562500 98.477885    new 1519925242475.149414 99.937260 
36874297059477.273438 98.477879    new 1522050648924.203613 99.937172 
36876422333177.640625 98.477791    new 1522207014018.012939 99.937165 
36876578688588.937500 98.477785    new 1524357036871.961426 99.937077 
36878728605111.867188 98.477696    new 1524513399984.787598 99.937070 
36878884960269.984375 98.477690    new 1535527432395.914551 99.936616 
36889898398578.976562 98.477235    new 1535679669269.355713 99.936609 
36890050626209.179688 98.477229    new 1536050627948.802246 99.936594 
36890421123037.867188 98.477213    new 1536203892625.344238 99.936588 
36890574398142.039062 98.477207    new 1592124545689.769531 99.934279 
36946491992881.007812 98.474899    new 1592276782725.526367 99.934273 
36946644220437.851562 98.474893    new 1592640480349.025391 99.934258 
36947007940758.210938 98.474877    new 1592793749670.710693 99.934252 
36947161215845.937500 98.474871    new 1615052273297.006348 99.933333 
36969418556860.562500 98.473952    new 1615208945253.959961 99.933326 
36969575220319.507812 98.473946    new 1622014028144.290039 99.933045 
36976379940426.812500 98.473665    new 1622166263338.653564 99.933039 
36976532168017.312500 98.473659    new 1622519221597.789062 99.933025 
36976885107245.703125 98.473644    new 1622675572683.649902 99.933018 
36977041462630.750000 98.473638    new 1625626398473.749023 99.932896 
36979992129451.210938 98.473516    new 1625778648421.674561 99.932890 
36980144357072.031250 98.473510    new 1625973841704.263184 99.932882 
36980339277665.187500 98.473502    new 1626130392688.898193 99.932876 
36980495632489.617188 98.473495    new 1627139655859.152100 99.932834 
36981504857515.656250 98.473454    new 1627296017177.146729 99.932827 
36981661212627.968750 98.473447    new 1628848863948.177002 99.932763 
36983213984397.898438 98.473383    new 1629005226832.386963 99.932757 
36983370340104.500000 98.473376    new 1630758557063.638184 99.932684 
36985123576542.539062 98.473304    new 1630914920733.065918 99.932678 
36985279931840.492188 98.473298    new 1631882714649.991699 99.932638 
36986247696069.953125 98.473258    new 1632039074824.544922 99.932632 
36986404051152.406250 98.473251    new 1633653086502.288086 99.932565 
36988017997450.601562 98.473185    new 1633809448187.233154 99.932559 
36988174352777.320312 98.473178    new 1638074652252.285889 99.932382 
36992439377364.484375 98.473002    new 1638231014225.371582 99.932376 
36992595732525.171875 98.472996    new 1639289587734.491943 99.932332 
36993654303252.500000 98.472952    new 1639441851118.271484 99.932326 
36993806530860.398438 98.472946    new 1639738001483.340088 99.932314 
36994102423110.812500 98.472933    new 1639894363593.025635 99.932307 
36994258778437.382812 98.472927    new 1641440482880.059326 99.932244 
36995804835487.304688 98.472863    new 1641596844550.659424 99.932237 
36995961190299.343750 98.472857    new 1649578842685.875000 99.931908 
37003942763895.242188 98.472527    new 1649735514512.828369 99.931901 
37004099427582.585938 98.472521    new 1655238412505.407471 99.931674 
37009601987383.351562 98.472294    new 1655394776069.641357 99.931668 
37009758342421.171875 98.472287    new 1657579855473.557373 99.931577 
37011943311829.250000 98.472197    new 1657736218682.503418 99.931571 
37012099667486.218750 98.472191    new 1670639428045.772949 99.931038 
37025001995900.375000 98.471658    new 1670795793790.317627 99.931032 
37025158351268.937500 98.471652    new 1671971189905.847412 99.930983 
37026333726429.976562 98.471603    new 1672127548075.600098 99.930977 
37026490081799.820312 98.471597    new 1673622502106.187256 99.930915 
37027984944119.210938 98.471535    new 1673774753474.364990 99.930909 
37028137171689.992188 98.471529    new 1674138941996.599365 99.930894 
37028501323044.679688 98.471514    new 1674295306030.615234 99.930887 
37028657678166.578125 98.471507    new 1675870867416.604736 99.930822 
37030232997519.515625 98.471442    new 1676027246480.372070 99.930816 
37030389352888.453125 98.471436    new 1676946882639.120361 99.930778 
37031308941326.125000 98.471398    new 1677103246107.389160 99.930771 
37031465296673.476562 98.471391    new 1678185896337.943359 99.930727 
37032547893566.226562 98.471347    new 1678342259340.427734 99.930720 
37032704248962.617188 98.471340    new 1679116866386.706299 99.930688 
37033478817294.484375 98.471308    new 1679273229488.548584 99.930682 
37033635172413.898438 98.471302    new 1680853623092.952148 99.930617 
37035215482039.328125 98.471236    new 1681009986741.425781 99.930610 
37035371837096.453125 98.471230    new 1682529068330.882324 99.930547 
37036890849074.718750 98.471167    new 1682681304893.536621 99.930541 
37037043076618.796875 98.471161    new 1682907379881.347900 99.930532 
37037268984978.882812 98.471152    new 1683063739794.062744 99.930525 
37037425340026.781250 98.471145    new 1693398650088.901367 99.930099 
37047759696396.187500 98.470719    new 1693555013808.047607 99.930092 
37047916051777.867188 98.470712    new 1694469034690.953613 99.930055 
37048830033759.523438 98.470674    new 1694625396653.594482 99.930048 
37048986388855.851562 98.470668    new 1695746429047.062256 99.930002 
37050107366468.812500 98.470622    new 1695902792071.505859 99.929995 
37050263721374.546875 98.470615    new 1696734015666.957031 99.929961 
37051094905618.429688 98.470581    new 1696890378410.458496 99.929955 
37051251260899.843750 98.470574    new 1697654514214.545166 99.929923 
37052015356583.148438 98.470543    new 1697810877767.890625 99.929917 
37052171711641.937500 98.470536    new 1698825086509.830566 99.929875 
37053185864680.140625 98.470495    new 1698981450426.993896 99.929868 
37053342219848.507812 98.470488    new 1700032802330.262451 99.929825 
37054393398048.062500 98.470445    new 1700189183222.220703 99.929818 
37054549753153.765625 98.470438    new 1701145536398.663818 99.929779 
37055506058669.359375 98.470399    new 1701301899537.720703 99.929773 
37055662414041.546875 98.470392    new 1702191591066.007812 99.929736 
37056552061687.140625 98.470356    new 1702347954070.307861 99.929729 
37056708417065.359375 98.470349    new 1705762759113.002197 99.929588 
37060123036093.500000 98.470208    new 1705919122940.073486 99.929582 
37060279391404.906250 98.470202    new 1706871943787.833740 99.929543 
37061232061965.156250 98.470162    new 1707028323501.145020 99.929536 
37061388417030.320312 98.470156    new 1707888078299.349121 99.929501 
37062248124869.570312 98.470121    new 1708044442217.592773 99.929494 
37062404479970.789062 98.470114    new 1708983296626.121094 99.929455 
37063343289114.593750 98.470075    new 1709139659466.560303 99.929449 
37063499644509.492188 98.470069    new 1709956955317.797852 99.929415 
37064316905601.960938 98.470035    new 1710113317275.745850 99.929409 
37064473260949.921875 98.470029    new 1711063849242.496826 99.929370 
37065423652039.460938 98.469989    new 1711220227473.238281 99.929363 
37065580007091.937500 98.469983    new 1712086360820.687500 99.929327 
37066445998558.992188 98.469947    new 1712242741494.190430 99.929321 
37066602353648.109375 98.469941    new 1713185419305.957275 99.929282 
37067544982594.570312 98.469902    new 1713341782754.452393 99.929276 
37067701337958.148438 98.469895    new 1714153754725.112061 99.929242 
37068513177739.460938 98.469862    new 1714310135196.765869 99.929236 
37068669533122.492188 98.469855    new 1715262117712.856689 99.929196 
37069621464545.328125 98.469816    new 1715418481441.951660 99.929190 
37069777819252.484375 98.469810    new 1716312181863.785889 99.929153 
37070671471680.976562 98.469773    new 1716468545586.442871 99.929147 
37070827827051.460938 98.469766    new 1718779617187.889404 99.929051 
37073138779925.523438 98.469671    new 1718935980555.791016 99.929045 
37073295135054.890625 98.469665    new 1719887161724.098877 99.929005 
37074246265500.210938 98.469625    new 1720043525392.466064 99.928999 
37074402620903.179688 98.469619    new 1720895455000.576172 99.928964 
37075254504250.492188 98.469584    new 1721051818770.009521 99.928957 
37075410859512.734375 98.469577    new 1721996121740.462158 99.928918 
37076355028666.757812 98.469538    new 1722152498952.212646 99.928912 
37076511383803.476562 98.469532    new 1722976396921.565918 99.928878 
37077335236877.046875 98.469498    new 1723132760768.258545 99.928871 
37077491591920.859375 98.469491    new 1724079877932.513916 99.928832 
37078438656426.328125 98.469452    new 1724236241958.558594 99.928826 
37078595011499.703125 98.469446    new 1725076834099.109375 99.928791 
37079435559962.515625 98.469411    new 1725233197599.098389 99.928785 
37079591915097.445312 98.469405    new 1726204149923.504150 99.928745 
37080562759194.265625 98.469365    new 1726360522434.282715 99.928738 
37080719114541.757812 98.469358    new 1727254958492.080322 99.928701 
37081613506040.273438 98.469321    new 1727411321615.924805 99.928695 
37081769861148.429688 98.469315    new 1728365583514.003662 99.928655 
37082724071918.828125 98.469275    new 1728521947217.799561 99.928649 
37082880426972.882812 98.469269    new 1729375348110.691650 99.928614 
37083733789418.304688 98.469234    new 1729531710574.652832 99.928607 
37083890144522.117188 98.469227    new 1730468291528.303955 99.928569 
37084826674209.953125 98.469189    new 1730624655368.669434 99.928562 
37084983029466.375000 98.469182    new 1731605717359.186279 99.928522 
37085964038808.257812 98.469142    new 1731762081081.192139 99.928515 
37086120393936.023438 98.469135    new 1732733040104.951172 99.928475 
37087091299590.671875 98.469095    new 1732889403980.008545 99.928469 
