ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.753000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 45.174500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 14.252750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.766750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 11.173375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.984375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.505625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 65.731000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.753000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 36.120625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 2.480250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.836750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 9.043375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 12.238000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.528250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.505625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 8.394000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.766750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 78.636500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.753000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 25.546125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 2.265375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.473875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 11.002125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.587875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.852500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 4.456000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.546625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 12.169750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.536500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.768250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.507500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 87.019625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.753000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 7.199875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 5.402750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.972625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 12.028750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.528250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.505625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 82.182875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.766750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 11.461375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 4.889375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.402625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 11.360750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.528250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.505625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 34.220250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.753000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 71.331250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.766750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 44.084000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.648125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 14.826750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.631750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 19.153375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 5.142625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.033625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 12.329375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.528250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.505625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 11.270000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.753000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 54.796500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.766750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 41.394750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 5.344750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.890625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 13.152750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.528250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.505625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 25.258375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.753000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
