interval 0.007662   current 14668.827097   old_charge 356878818   old_soc 99.999985   new_charge 7249722   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356881179   old_soc 99.999985   new_charge 7251223   new_soc 100.000000
interval 0.191450   current 14668.827097   old_charge 356882701   old_soc 99.999985   new_charge 7310198   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356941673   old_soc 99.999985   new_charge 7311699   new_soc 100.000000
interval 0.007564   current 14668.827097   old_charge 356943195   old_soc 99.999985   new_charge 7314026   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356945525   old_soc 99.999985   new_charge 7315527   new_soc 100.000000
interval 0.007890   current 14668.827097   old_charge 356947048   old_soc 99.999985   new_charge 7317952   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356949478   old_soc 99.999985   new_charge 7319454   new_soc 100.000000
interval 0.008200   current 14668.827097   old_charge 356951000   old_soc 99.999985   new_charge 7321980   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356953526   old_soc 99.999985   new_charge 7323481   new_soc 100.000000
interval 0.546654   current 14668.827097   old_charge 356955048   old_soc 99.999985   new_charge 7491875   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 357123434   old_soc 99.999985   new_charge 7493377   new_soc 100.000000
interval 0.006786   current 14668.827097   old_charge 357124956   old_soc 99.999985   new_charge 7495471   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 357127046   old_soc 99.999985   new_charge 7496972   new_soc 100.000000
interval 0.935112   current 14668.827097   old_charge 357128568   old_soc 99.999985   new_charge 7785029   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 357416610   old_soc 99.999985   new_charge 7786532   new_soc 100.000000
interval 0.007432   current 14668.827097   old_charge 357418132   old_soc 99.999985   new_charge 7788830   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 357420422   old_soc 99.999985   new_charge 7790332   new_soc 100.000000
interval 0.011760   current 14668.827097   old_charge 357421944   old_soc 99.999985   new_charge 7793956   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 357425566   old_soc 99.999985   new_charge 7795474   new_soc 100.000000
interval 0.202736   current 14668.827097   old_charge 357427099   old_soc 99.999985   new_charge 7857925   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 357489548   old_soc 99.999985   new_charge 7859428   new_soc 100.000000
interval 0.011438   current 14668.827097   old_charge 357491070   old_soc 99.999985   new_charge 7862950   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 357494593   old_soc 99.999985   new_charge 7864468   new_soc 100.000000
interval 0.110912   current 14668.827097   old_charge 357496126   old_soc 99.999985   new_charge 7898634   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 357530290   old_soc 99.999985   new_charge 7900136   new_soc 100.000000
interval 0.028052   current 14668.827097   old_charge 357531812   old_soc 99.999985   new_charge 7908777   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 357540453   old_soc 99.999985   new_charge 7910295   new_soc 100.000000
interval 0.107824   current 14668.827097   old_charge 357541986   old_soc 99.999985   new_charge 7943510   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 357575199   old_soc 99.999985   new_charge 7945012   new_soc 100.000000
interval 0.011950   current 14668.827097   old_charge 357576721   old_soc 99.999985   new_charge 7948693   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 357580402   old_soc 99.999985   new_charge 7950210   new_soc 100.000000
interval 0.516680   current 14668.827097   old_charge 357581935   old_soc 99.999985   new_charge 8109371   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 357741087   old_soc 99.999985   new_charge 8110874   new_soc 100.000000
interval 0.663820   current 14668.827097   old_charge 357742610   old_soc 99.999985   new_charge 8315361   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 357947086   old_soc 99.999985   new_charge 8316864   new_soc 100.000000
interval 0.007418   current 14668.827097   old_charge 357948608   old_soc 99.999985   new_charge 8319140   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 357950893   old_soc 99.999985   new_charge 8320658   new_soc 100.000000
interval 0.677066   current 14668.827097   old_charge 357952426   old_soc 99.999985   new_charge 8529226   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 358160982   old_soc 99.999985   new_charge 8530729   new_soc 100.000000
interval 0.011808   current 14668.827097   old_charge 358162504   old_soc 99.999985   new_charge 8534374   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 358166141   old_soc 99.999985   new_charge 8535893   new_soc 100.000000
interval 0.289160   current 14668.827097   old_charge 358167674   old_soc 99.999985   new_charge 8624967   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 358256743   old_soc 99.999985   new_charge 8626471   new_soc 100.000000
interval 0.007320   current 14668.827097   old_charge 358258266   old_soc 99.999985   new_charge 8628726   new_soc 100.000000
interval 0.004986   current 14668.827097   old_charge 358260521   old_soc 99.999985   new_charge 8630252   new_soc 100.000000
interval 0.390796   current 14668.827097   old_charge 358262056   old_soc 99.999985   new_charge 8750635   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 358382433   old_soc 99.999985   new_charge 8752202   new_soc 100.000000
interval 0.015510   current 14668.827097   old_charge 358383996   old_soc 99.999985   new_charge 8756980   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 358388774   old_soc 99.999985   new_charge 8758484   new_soc 100.000000
interval 0.007850   current 14668.827097   old_charge 358390296   old_soc 99.999985   new_charge 8760901   new_soc 100.000000
